problem,run,trial,n_seen,accuracy,input,correct,predicted
waves.1.c000,1,5,1,1,"C (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 2) 6) []))))))","[]","[]"
waves.1.c000,1,6,1,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 3) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 8) 1) []))))))))))","[]","[]"
waves.1.c000,1,7,1,1,"C (CONS (DIGIT 6) (CONS (DECC (DIGIT 6) 1) (CONS (DIGIT 4) [])))","[]","[]"
waves.1.c000,1,8,1,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 6) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 1) [])))))))","[]","[]"
waves.1.c000,1,9,1,1,"C (CONS (DECC (DIGIT 7) 0) [])","[]","[]"
waves.1.c000,1,10,1,1,"C (CONS (DECC (DIGIT 8) 5) (CONS (DIGIT 7) (CONS (DIGIT 6) (CONS (DECC (DIGIT 1) 0) []))))","[]","[]"
waves.1.c000,2,0,17,0,"C (CONS (DECC (DIGIT 5) 3) (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 8) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 5) (CONS (DIGIT 7) [])))))))","[]","CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 8) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 5) (CONS (DIGIT 7) [])))))"
waves.1.c000,2,1,1,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DIGIT 2) (CONS (DIGIT 7) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 5) []))))))))))","[]","[]"
waves.1.c000,2,2,1,1,"C (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 4) 4) (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 9) 3) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 3) []))))))))))","[]","[]"
waves.1.c000,2,3,1,1,"C (CONS (DECC (DIGIT 1) 7) (CONS (DECC (DIGIT 1) 1) (CONS (DIGIT 2) (CONS (DECC (DIGIT 6) 0) (CONS (DECC (DIGIT 2) 6) (CONS (DIGIT 4) (CONS (DIGIT 1) (CONS (DECC (DIGIT 8) 3) (CONS (DECC (DIGIT 8) 5) (CONS (DECC (DIGIT 1) 0) []))))))))))","[]","[]"
waves.1.c000,2,4,1,1,"C (CONS (DIGIT 4) (CONS (DIGIT 9) (CONS (DIGIT 5) [])))","[]","[]"
waves.1.c000,2,5,1,1,"C (CONS (DECC (DIGIT 4) 0) [])","[]","[]"
waves.1.c000,2,6,1,1,"C (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 2) 6) []))))))","[]","[]"
waves.1.c000,2,7,1,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 1) 5) (CONS (DECC (DIGIT 1) 2) (CONS (DECC (DIGIT 6) 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 2) 9) []))))))))","[]","[]"
waves.1.c000,2,8,1,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 5) 5) (CONS (DIGIT 1) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DIGIT 9) []))))))","[]","[]"
waves.1.c000,2,9,1,1,"C (CONS (DIGIT 6) (CONS (DECC (DIGIT 6) 1) (CONS (DIGIT 4) [])))","[]","[]"
waves.1.c000,2,10,1,1,"C (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 7) 5) (CONS (DIGIT 7) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 7) 7) (CONS (DIGIT 1) []))))))))","[]","[]"
waves.1.c000,3,0,17,0,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 5) 5) (CONS (DIGIT 1) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DIGIT 9) []))))))","[]","CONS (DECC (DIGIT 5) 5) (CONS (DIGIT 1) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DIGIT 9) []))))"
waves.1.c000,3,1,1,1,"C (CONS (DIGIT 4) (CONS (DIGIT 9) (CONS (DIGIT 5) [])))","[]","[]"
waves.1.c000,3,2,1,1,"C (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 7) 5) (CONS (DIGIT 3) (CONS (DIGIT 1) (CONS (DECC (DIGIT 6) 0) (CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) (CONS (DIGIT 8) [])))))))))","[]","[]"
waves.1.c000,3,3,1,1,"C (CONS (DIGIT 6) (CONS (DIGIT 7) (CONS (DIGIT 2) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) [])))))))","[]","[]"
waves.1.c000,3,4,1,1,"C (CONS (DECC (DIGIT 2) 7) (CONS (DIGIT 7) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 5) (CONS (DIGIT 0) []))))))","[]","[]"
waves.1.c000,3,5,1,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 3) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 8) 1) []))))))))))","[]","[]"
waves.1.c000,3,6,1,1,"C (CONS (DIGIT 7) (CONS (DIGIT 2) (CONS (DECC (DIGIT 5) 2) (CONS (DIGIT 5) []))))","[]","[]"
waves.1.c000,3,7,1,1,"C []","[]","[]"
waves.1.c000,3,8,1,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 2) 0) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DIGIT 2) []))))))","[]","[]"
waves.1.c000,3,9,1,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 5) []))","[]","[]"
waves.1.c000,3,10,1,1,"C (CONS (DIGIT 0) [])","[]","[]"
waves.1.c000,4,0,17,0,"C (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 3) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 8) 1) []))))))))))","[]","CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 3) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DECC (DIGIT 8) 1) []))))))))"
waves.1.c000,4,1,1,1,"C (CONS (DIGIT 6) (CONS (DECC (DIGIT 6) 1) (CONS (DIGIT 4) [])))","[]","[]"
waves.1.c000,4,2,1,1,"C (CONS (DECC (DIGIT 3) 4) (CONS (DIGIT 2) (CONS (DIGIT 4) (CONS (DIGIT 0) (CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 9) (CONS (DIGIT 8) (CONS (DECC (DIGIT 7) 2) [])))))))))","[]","[]"
waves.1.c000,4,3,1,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 5) []))","[]","[]"
waves.1.c000,4,4,1,1,"C (CONS (DECC (DIGIT 7) 0) [])","[]","[]"
waves.1.c000,4,5,1,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 6) 3) (CONS (DECC (DIGIT 8) 0) (CONS (DECC (DIGIT 5) 8) [])))))))","[]","[]"
waves.1.c000,4,6,1,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DIGIT 2) (CONS (DIGIT 7) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 5) []))))))))))","[]","[]"
waves.1.c000,4,7,1,1,"C (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 4) 4) (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 9) 3) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 3) []))))))))))","[]","[]"
waves.1.c000,4,8,1,1,"C (CONS (DECC (DIGIT 2) 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 4) 3) [])))","[]","[]"
waves.1.c000,4,9,1,1,"C (CONS (DIGIT 6) [])","[]","[]"
waves.1.c000,4,10,1,1,"C (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 3) []))))","[]","[]"
waves.1.c001,0,0,17,0,"C (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 0) [])))))","CONS (DECC (DIGIT 3) 7) []","CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 3) 0) (CONS (DIGIT 0) [])))"
waves.1.c001,0,1,1,1,"C (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 5) (CONS (DIGIT 1) []))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,0,2,1,1,"C (CONS (DECC (DIGIT 4) 1) [])","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,0,3,1,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 0) (CONS (DIGIT 8) (CONS (DIGIT 1) (CONS (DIGIT 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 2) 9) (CONS (DIGIT 4) (CONS (DIGIT 0) []))))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,0,4,1,1,"C (CONS (DIGIT 1) (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 3) [])))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,0,5,1,1,"C (CONS (DIGIT 8) (CONS (DIGIT 7) (CONS (DECC (DIGIT 8) 2) (CONS (DIGIT 5) (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 7) (CONS (DECC (DIGIT 7) 6) (CONS (DIGIT 6) (CONS (DECC (DIGIT 8) 0) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,0,6,1,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 6) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 4) []))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,0,7,1,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 8) 8) (CONS (DIGIT 7) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 0) [])))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,0,8,1,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 2) [])))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,0,9,1,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 5) 4) (CONS (DIGIT 5) (CONS (DIGIT 5) [])))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,0,10,1,1,"C (CONS (DIGIT 8) (CONS (DECC (DIGIT 6) 0) (CONS (DIGIT 7) (CONS (DIGIT 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 1) 6) (CONS (DIGIT 1) [])))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,0,17,0,"C (CONS (DECC (DIGIT 7) 3) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 8) 5) (CONS (DECC (DIGIT 6) 3) (CONS (DIGIT 2) (CONS (DIGIT 8) (CONS (DIGIT 3) (CONS (DIGIT 4) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 8) 5) (CONS (DECC (DIGIT 6) 3) (CONS (DIGIT 2) (CONS (DIGIT 8) (CONS (DIGIT 3) (CONS (DIGIT 4) [])))))))"
waves.1.c001,1,1,1,1,"C []","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,2,1,1,"C (CONS (DECC (DIGIT 6) 1) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 6) 6) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 2) (CONS (DIGIT 3) (CONS (DIGIT 5) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,3,1,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 2) (CONS (DIGIT 0) (CONS (DIGIT 1) (CONS (DIGIT 5) (CONS (DECC (DIGIT 2) 9) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 6) 1) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,4,1,1,"C (CONS (DIGIT 1) (CONS (DIGIT 5) (CONS (DIGIT 4) (CONS (DIGIT 6) (CONS (DIGIT 7) (CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 9) 3) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 4) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,5,1,1,"C (CONS (DIGIT 1) (CONS (DIGIT 0) (CONS (DIGIT 6) (CONS (DIGIT 4) (CONS (DIGIT 1) (CONS (DIGIT 9) (CONS (DIGIT 5) (CONS (DIGIT 8) []))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,6,1,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 0) (CONS (DIGIT 8) (CONS (DIGIT 1) (CONS (DIGIT 2) (CONS (DIGIT 3) (CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 2) 9) (CONS (DIGIT 4) (CONS (DIGIT 0) []))))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,7,1,1,"C (CONS (DIGIT 0) (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 7) 5) (CONS (DECC (DIGIT 2) 9) (CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 6) (CONS (DIGIT 3) (CONS (DECC (DIGIT 6) 5) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,8,1,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 6) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 4) []))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,9,1,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 4) (CONS (DIGIT 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 2) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 6) (CONS (DECC (DIGIT 6) 3) []))))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,1,10,1,1,"C (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 8) []))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,0,17,0,"C (CONS (DECC (DIGIT 6) 1) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 6) 6) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 2) (CONS (DIGIT 3) (CONS (DIGIT 5) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 6) 6) (CONS (DIGIT 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 2) (CONS (DIGIT 3) (CONS (DIGIT 5) [])))))))"
waves.1.c001,2,1,1,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 3) 2) [])))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,2,1,1,"C (CONS (DECC (DIGIT 4) 2) (CONS (DIGIT 4) (CONS (DECC (DIGIT 6) 2) (CONS (DECC (DIGIT 8) 8) []))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,3,1,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 1) 6) (CONS (DIGIT 0) (CONS (DIGIT 3) (CONS (DIGIT 9) (CONS (DIGIT 0) (CONS (DECC (DIGIT 7) 3) [])))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,4,1,1,"C (CONS (DECC (DIGIT 4) 1) [])","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,5,1,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 2) (CONS (DIGIT 0) (CONS (DIGIT 1) (CONS (DIGIT 5) (CONS (DECC (DIGIT 2) 9) (CONS (DIGIT 5) (CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 6) 1) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,6,1,1,"C (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 6) (CONS (DIGIT 6) (CONS (DECC (DIGIT 5) 8) (CONS (DECC (DIGIT 4) 7) [])))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,7,1,1,"C []","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,8,1,1,"C (CONS (DIGIT 1) (CONS (DIGIT 5) (CONS (DIGIT 4) (CONS (DIGIT 6) (CONS (DIGIT 7) (CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 9) 3) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 4) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,9,1,1,"C (CONS (DIGIT 4) (CONS (DECC (DIGIT 7) 3) []))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,2,10,1,1,"C (CONS (DECC (DIGIT 9) 1) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 3) (CONS (DIGIT 3) (CONS (DECC (DIGIT 6) 3) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 9) (CONS (DIGIT 6) []))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,3,0,17,0,"C (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 8) []))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 9) (CONS (DECC (DIGIT 6) 8) []))"
waves.1.c001,3,1,1,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 2) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 4) 4) (CONS (DIGIT 0) (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 2) [])))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,3,2,1,1,"C (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 5) (CONS (DIGIT 1) []))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,3,3,1,1,"C (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 3) (CONS (DECC (DIGIT 8) 7) (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 7) (CONS (DECC (DIGIT 8) 4) (CONS (DIGIT 9) (CONS (DECC (DIGIT 5) 1) []))))))))","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
waves.1.c001,3,4,1,1,"C (CONS (DIGIT 6) [])","CONS (DECC (DIGIT 3) 7) []","CONS (DECC (DIGIT 3) 7) []"
