problem,run,trial,accuracy,n_seen,program
trs.waves.1.c009,3,5,1,292,".(C .(.(CONS .(DIGIT 4)) .(.(CONS .(.(DECC .(DIGIT 7)) 1)) .(.(v0_ CONS) .(.(CONS .(.(DECC .(DIGIT 4)) 7)) .(.(CONS .(.(DECC .(DIGIT 8)) 9)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 6)) 8)) NIL)))))))) = .(.(CONS .(.(DECC .(DIGIT 7)) 1)) .(.(CONS .(DIGIT 3)) .(.(CONS .(.(DECC .(DIGIT 4)) 7)) .(.(CONS .(.(DECC .(DIGIT 8)) 9)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 6)) 8)) NIL)))))); C = TAIL;"
trs.waves.1.c009,3,6,1,309,".(C .(.(CONS .(v0_ v1_)) v2_)) = v2_;"
trs.waves.1.c009,3,7,1,413,".(C .(.(CONS .(v0_ v1_)) v2_)) = v2_;"
trs.waves.1.c009,3,8,1,734,".(C .(.(CONS .(v0_ v1_)) v2_)) = v2_;"
trs.waves.1.c009,3,9,1,798,".(C .(.(CONS .(v0_ v1_)) v2_)) = v2_;"
trs.waves.1.c009,3,10,1,869,".(C .(.(CONS .(v0_ v1_)) v2_)) = v2_;"
trs.waves.1.c009,3,11,1,939,".(C .(.(CONS .(v0_ v1_)) v2_)) = v2_;"
trs.waves.1.c003,3,1,0,35,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c003,3,2,1,326,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c003,3,3,1,358,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c003,3,4,1,409,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c003,3,5,1,463,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c003,3,6,1,557,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c003,3,7,1,611,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c003,3,8,1,646,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c003,3,9,1,699,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c003,3,10,1,841,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c003,3,11,1,865,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 9)) 8)) .(.(CONS .(.(DECC .(DIGIT 3)) 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 2)) 3)) NIL)))));"
trs.waves.1.c006,2,1,0,66,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c006,2,2,1,357,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c006,2,3,1,493,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c006,2,4,1,590,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c006,2,5,1,632,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c006,2,6,1,659,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c006,2,7,1,692,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c006,2,8,1,718,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c006,2,9,1,733,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c006,2,10,1,763,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c006,2,11,1,784,"C = .(.(IF .(.(EQUAL 7) 5)) .(C NIL)); .(C v0_) = .(.(CONS .(DIGIT 7)) v0_);"
trs.waves.1.c002,2,1,0,22,""
trs.waves.1.c002,2,2,0,128,".(C .(.(CONS .(DIGIT 7)) v0_)) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,2,3,1,517,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
